Name,h1,h2,N1,N2,vocabulary,length,volume,difficulty,effort,time,bugs,MI,CC,CCL,CCO,CEE,CI,LDC,LLDC,CLLC,CLC,NCR,CR,CEG,TLLOC,TLOC,TNCL,TNFI,TNM,TNOS,TNPKG,TCLOC,TNDI,WarningBlocker,WarningCritical,WarningMajor,WarningMinor,WarningInfo
InsightFace,5.276134122287968,32.88560157790927,25.63905325443787,48.036489151873766,38.16173570019724,73.67554240631164,488.5131173325977,3.7778142529019947,4737.156001027134,263.1753333903968,0.16283770577753195,72.02392101612973,4.149789739008691,373,4267,218669.4375,1273,32946,29485,0.23540541529655457,0.2168455868959427,0.24410705268383026,2.7305333614349365,21.849884033203125,125252,151933,702,1016,4624,59177,235,27797,238,0,2758,3585,13159,0
Kaolin,3.6356877323420074,27.16728624535316,45.60223048327138,61.9368029739777,30.802973977695167,107.53903345724908,477.8597659975701,13.237902592899975,123438.20077434956,6857.6778207971975,0.15928658866585674,76.28251702704412,3.1843828728408137,26,146,279.3571472167969,57,1371,1039,0.029002903029322624,0.03084433823823929,0.11263737082481384,0.03117622807621956,0.5535012483596802,35824,44449,200,269,1761,12825,120,12613,123,0,3590,950,3102,0
Kedro,2.103734439834025,21.734439834024897,13.340248962655602,25.61825726141079,23.83817427385892,38.95850622406639,269.49613337078273,1.1942163626254956,1198.140729971829,66.56337388732383,0.08983204445692755,81.13937789072851,2.8628790298766367,17,76,44.94117736816406,34,880,724,0.0275547094643116,0.027289360761642456,0.11764705926179886,0.02668159268796444,0.7011476755142212,26275,32247,221,241,1847,9183,121,5423,124,0,309,870,426,0
Keras,5.009360374414976,29.443057722308893,22.945397815912635,41.40561622464899,34.45241809672387,64.35101404056162,418.34216326308194,3.4330766176663388,3867.5085143993865,214.86158413329926,0.13944738775436072,64.9182075524089,2.2924491797402764,204,1425,7765.7236328125,511,12912,10350,0.06820158660411835,0.07214415073394775,0.2288568913936615,0.1943693310022354,2.1695716381073,151756,178975,1184,641,8708,54818,56,35002,59,0,4036,2194,8072,0
Kserve,1.293956043956044,6.178571428571429,4.21978021978022,8.082417582417582,7.472527472527473,12.302197802197803,64.64312464799482,0.8092481288405894,296.1719639286979,16.45399799603878,0.021547708215998513,88.6930276749295,1.979717568101829,165,24027,3757225.5,1672,8854,8127,0.14794385433197021,0.12554769217967987,0.10297827422618866,39.773929595947266,98.9605712890625,54933,70523,303,728,3609,14030,394,22860,397,0,887,904,5494,0
Lightning,2.828358208955224,16.708955223880597,11.504477611940299,21.540298507462687,19.53731343283582,33.04477611940298,200.78391097259558,1.7627371800598948,1343.2689692460947,74.62605384700525,0.06692797032419834,78.44998239357976,2.4314402569764133,69,449,803.2777709960938,147,4410,3630,0.028710858896374702,0.026113834232091904,0.18518519401550293,0.058077313005924225,0.8682681322097778,126433,168876,2019,1316,10046,56029,390,31969,393,0,5509,4418,10442,0
Ludwig,2.931972789115646,17.12108843537415,11.727891156462585,22.153741496598638,20.053061224489795,33.881632653061224,210.1035668122571,1.86339007889186,1704.069198861445,94.67051104785799,0.07003452227075237,77.24356026822515,2.3703396056093293,215,1399,3975.0087890625,690,12667,9992,0.09387712925672531,0.0929524376988411,0.12275747954845428,0.1889277994632721,2.2791993618011475,106437,136274,1106,733,5563,32918,145,21052,148,0,4933,2209,8468,0
Mage-ai,1.369483407458091,6.731098186794389,4.533014026684913,8.581936366746493,8.10058159425248,13.114950393431407,75.72567873412332,0.8417302971597552,491.65869896247136,27.314372164581695,0.025241892911374395,86.36949724284236,3.7210049992830094,209,1789,3196.636474609375,525,13169,10223,0.06076257675886154,0.06367065012454987,0.09235899895429611,0.12416605651378632,1.538519263267517,168245,206830,1919,2922,7575,56810,1463,17997,1466,0,212,2525,7628,0
Mars,3.777275661717237,22.207876049063913,16.502259522272436,31.20271142672692,25.98515171078115,47.70497094899935,309.80987355908417,2.5394481325393796,2712.6974661608233,150.70541478671308,0.1032699578530272,73.87056093369152,3.3670706012483222,150,966,3096.176513671875,491,17473,8348,0.03804801031947136,0.06211761012673378,0.10104575008153915,0.19312992691993713,2.4022719860076904,219407,281289,1866,1549,11576,93200,337,65294,340,0,8333,3371,14851,0
Matplotlib,4.087476979742173,38.074585635359114,29.994475138121548,54.33977900552486,42.16206261510129,84.3342541436464,652.5619645403217,2.857356351883024,8104.235947726984,450.23533042927744,0.21752065484677388,77.51170094286202,2.4701731335349595,61,318,239.42857360839844,131,4009,2330,0.015337726101279259,0.018967637792229652,0.11943794041872025,0.015562009066343307,0.28406795859336853,151913,211360,890,1054,8096,57195,211,73459,214,0,3755,4340,12695,0
